nome_breve,nome_esteso,indirizzo
A.SE.CON.,Amici senza confini,"Via Baronia, 19/B - 09121 Cagliari (sede legale)
Tel. 070/6518884  Cell. 377/4515121 
info@asecon.it"
AAI,ActionAid Italia Onlus,"Via Broggi 19/A - 20129  MILANO
Tel. 02/742001  Fax 02/29537373  
informazioni@actionaid.org"
ABCS,Associazione Bertoni per la Cooperazione e lo Sviluppo del Terzo Mondo,"Via dei Colli, 27 - 37128 Verona
Tel. 045/8300992  Fax 045/8300930  
info@abcsverona.it"
ACAP,Comunità di Sant'Egidio,"Piazza Sant'Egidio, 3/a - 00153 Roma
Tel. 06/8992234  Fax 06/5800197 
info@santegidio.org"
ACAV,Associazione Centro Aiuti Volontari,"Via Sighele, 3 - 38100 Trento
Tel. e Fax 0461/935893   
acav@eclipse-net.it"
ACCRI,Associazione di Cooperazione Cristiana Internazionale,"Via Cavana, 16/A - 34124 Trieste
Tel. 040/307899  Fax 040/310123  
trieste@accri.it"
ACFR,Associazione Casa Famiglia Rosetta,"Sede legale: Contrada Bagno - 93100  Caltanissetta
Tel. 0934/508311 Fax 0934/508313 
donvincenzosorce@tiscali.it"
ACRA-CCS,Fondazione Acra-Ccs,"Via Lazzaretto, 3 - 20126 Milano
Tel. 02/27000291  Fax 02/2552270  
info@acraccs.org"
ACS,Associazione di Cooperazione allo Sviluppo,"Via Umberto Boccioni, 30/a - 35142 Padova 
(sede legale)  
info@acs-italia.it"
ADP,Amici dei Popoli,"Sede legale Via Zanovello, 1 - 24047 Treviglio (BG)
Tel. 0363/40536  
info@amicideipopoli.org"
ADRA Italia,Adventist Development and Relief Agency,"Lungotevere Michelangelo, 7 - 00192 Roma
Tel. 06/3210757  Fax 06/3605944 
info@adraitalia.org"
AES-CCC,Associazione Amici dello Stato Brasiliano Espirito Santo - Centro di Collaborazone Comunitaria,"Via Sacro Cuore, 20 bis - 35135 PADOVA
Tel. 049/8641477  Fax 049/8642290  
aes-ccc@libero.it"
AFMAL,Associazione con i Fatebenefratelli per i malati lontani,"Via Cassia, 600 - 00198 ROMA
Tel. 06/33554006   
afmal.rm@melograno.it"
AFRICA 70,AFRICA 70,"Manzoni 32 - 20052 Monza
0392308465 039386627 
africa70@africa70.org"
