Sigla,Anno,Maaee,Altre Ist Naz,Ue,Altre Ist Intnaz,Cei,Enti Loc,Privati,Tot entrate,Lavoro Benevolo (Entrate),Attività in Italia,Formazione,Programmi,Struttura,Tot uscite,Lavoro Benevolo (Uscite)
A.B.C.S.,2011,0,65237,869075,0,4500,13000,605750,1557562,,34533,4115,941114,83285,1063047,
A.B.C.S.,2012,0,40799,0,0,4500,6000,833568,884867,,31563,3447,1683221,72354,1790585,
A.L.M.,2011,,13135,,,,,268129,281264,38223,19115,13185,221462,56155,309917,38223
A.L.M.,2013,0,0,0,0,0,0,196195,196195,55537,7437,3096,104177,44806,159516,55537
A.L.M.A. Onlus,2011,0,1878,0,0,0,7238,41615,50731,74128,25463,0,17706,0,43169,74128
A.L.M.A. Onlus,2012,,,,,,6082,43794,49876,50331,2076,658,69424,2323,74481,50331
A.S.I.,2011,,,,,,,216788,216788,50000,28546,30227,152993,67856,279622,50000
A.S.I.,2012,,17677,,,,,148996,166673,50000,15927,16527,73141,39351,144946,50000
A.S.I.,2013,,7351,,,5000,,160487,172838,50000,13689,15142,103327,32325,164483,50000
A.S.P.Em.,2012,,299935,,,,2040,240856,542831,,110498,5744,396481,28991,541714,
A.S.P.Em.,2013,130709,84241,224713,174444,,,364127,978234,3008,116580,,843696,16168,976444,3008
ACCRI,2013,0,9394,0,0,0,207262,313242,529898,0,8313,5738,411248,116993,542291,57071
AdP,2011,15300,69237,137107,,111085,3091,313978,649798,92023,29172,10521,572501,120768,732962,92023
AdP,2012,0,74717,14398,0,21921,2491,208553,322080,67586,31957,4118,296726,63094,395895,67586
AdP,2013,0,29929,11850,0,55017,6446,215513,318755,68584,31161,3595,220808,46804,302368,68584
AIFO,2012,39559,,773611,,82875,134179,361542,1391766,,719023,20141,2716615,1385595,4841374,
AUCI,2011,0,0,0,0,0,0,110433,110433,50000,7452,10284,57330,48585,123651,50000
AVAZ,2011,0,37750,0,,0,15000,61260,114010,0,33620,0,100708,26354,160682,0
AVAZ,2013,0,41,0,0,197,10,193,441,0,50,0,356,15,421,0
C.I.S.V.,2011,85529,213520,3559275,202833,99863,452377,1743672,6357069,205450,652450,,5396148,392128,6440726,205450
C.I.S.V.,2012,0,142539,1499207,672759,70589,378154,1518520,4281768,177450,532271,0,3474064,310944,4317279,177450
C.L.M.C.,2011,0,1679,0,0,65000,0,32363,99042,92180,5400,0,87498,5773,98671,92180
C.L.M.C.,2011,0,1679,0,0,65000,,32413,99092,92180,,0,,,0,92180
C.L.M.C.,2012,0,1907,0,,35000,,22389,59296,132081,5347,,48510,5198,59055,132081
C.L.M.C.,2013,0,1790,0,0,0,0,19241,21031,84120,1650,0,11870,7437,20957,84120
C.M.S.R.,2011,0,0,0,0,50000,162100,403437,615537,,131477,1000,385160,97900,615537,
C.P.S.,2011,79259,97517,4463,17198,0,0,137686,336123,0,6782,0,281344,47204,335330,0
