Sigla,Nome,Codice Fiscale,Piva,Indirizzo,Telefono,Fax,Email,Sito,Soci,Gruppi di Appoggio,Sostenitori,Personale Remunerato: Full Time,Personale Remunerato: Part Time,Personale Volontario in distacco: Full Time,Personale Volontario in distacco: Part Time,Personale Volontario in distacco: Sporadico,Staigiers: Full Time,Staigiers: Part Time,Staigiers: Sporadico,Volontari Rientrati: Full Time,Volontari Rientrati: Part Time,Volontari Rientrati: Sporadico,Altro Personale: Full Time,Altro Personale: Part Time,Altro Personale: Sporadico,Volontari in Servizio Civile in Italia,Volontari in Servizio Civile all'Estero,Corsi Volontari Internazionali,Volontari Internazionali Formati,Corsi Volontari in Italia,Volontari in Italia Formati,Corsi Insegnanti,Insegnanti Formati,Corsi Educatori,Educatori Formati,Corsi Cittadini Extracomunitari,Cittadini Extracomunitari Formati,Corsi Mediatori Culturali,Mediatori Culturali Formati,Corsi Progettisti,Progettisti Formati,Corsi Funzionari Cooperazione,Funzionari Cooperazione Formati,Corsi Universitari,Universitari Formati,Corsi Laureati,Laureati Formati,Corsi per Famiglie,Famiglie: Persone Formate,Corsi Società Civile,Società Civile: Persone Formate,Iniziative di Mobilitazione,Partecipazione Eventi,Tavoli di concertazione Amm. Locali,Tavoli di concertazione Ist. Nazionali,Produzione Legislativa,Materiale Didattico,Organizzazione Eventi,Interventi nelle Scuole,Siti,Campi di Lavoro,Turismo,Adozioni,Collaborazioni con le Universtità,Scuole di Formazione
A.B.C.S.,Associazione Bertoni per la Cooperazione e lo Sviluppo del Terzo Mondo,93020840232,,"Viale dei colli, 27 37128 Verona",458300992,458300930,info@abcsverona.it,www.abcsverona.it,138,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,685,1,1
A.L.M.,Associazione Laicale Missionaria,97025060589,,"Viale dei Quattro Venti, 166 - Roma 00152",06-5897752,06-584856,almquattroventi#libero.it,www.associazionelaicalemissionaria.it,23,5,500,0,0,12,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,4,0,1,0,0,2,0,1,0,0,250,0,0
A.L.M.A. Onlus,Associazione Laica Montfort un cuore per l'Africa,900 630 507,90063050729,"via Madonna degli Angeli,29 76121 Barletta BT",328 2654400,08883 515366,info@almaonlus.it,www.almaonlus.it,48,4,100,0,0,10,8,30,0,0,0,0,,0,10,8,,0,0,1,5,2,10,0,0,1,5,0,0,0,0,1,4,0,0,0,0,1,3,2,80,0,0,4,4,2,0,0,,5,20,1,0,0,80,2,1
A.S.I.,Associazione Sanitaria Internazionale,80119310581,,"Via delle Terme Deciane, 5/A",06 5743482,06 5747655,info@asi-medical.it,www.asi-international.org,20,3,1000,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.S.P.Em.,Associazione Solidarietà  Paesi Emergenti,81009470139,,"via Dalmazia 2, 22063 Cantu'  (Como)",31711394,31711394,aspem@aspem.org,www.aspem.org,82,0,0,1,6,0,2,2,1,0,0,0,0,0,1,0,0,0,18,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCRI,Associazione di Cooperazione Cristiana Internazionale per una Cultura di Solidarietà tra i Popoli,90031370324,,"VIA CAVANA, 16/A",040 307899,040 310123,trieste@accri.it,www.accri.it,112,3,320,1,3,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,12,2,90,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,1,0,0,8,39,1,0,0,0,2,0
AdP,Amici dei Popoli O.N.G.,92010080379,,"Via Bartolomeo Maria Dal Monte, 14",51460381,51451928,info@amicideipopoli.org,www.amicideipopoli.org,118,0,300,1,3,0,0,0,0,0,0,0,0,0,0,,0,2,7,3,25,1,30,2,38,1,35,3,40,1,35,0,0,0,0,2,58,2,58,0,0,3,58,4,8,8,3,0,0,17,137,1,4,0,2,3,2
AIFO,"Associazione Italiana ""Amici di Raoul Follereau""",80060090372,/,"via G. Borselli, 4-6",051 4393211,051 434046,federica.dona@aifo.it,www.aifo.it,888,54,5000,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,60,3,60,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,2,0,0,0,0,0,100,30,2,3,1,0,9,0
AMAHORO,Amahoro onlus,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APURIMAC,Apurimac Onlus,,,,,,info@apurimac.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
